Name,SMILES,PubChemID,CPE CLASS,IUPAC NAME,CAS,CAS (cactus),logKp,Reference,Total Molweight,cLogP,cLogS,H-Acceptors,H-Donors,Polar Surface Area,Rotatable Bonds,Aromatic Rings,sp3-Atoms,Drug status,DRUGBANK,tag1,tag2,tag3,tag4,tag5,tag6,tag7,tag8 (SCAFFOLD name),Scaffold SMILES
"1-(2,6-Dimethylmorpholin-4-yl)dodec-10-en-1-one (Azone_analog-166)",CC=CCCCCCCCCC(=O)N1CC(C)OC(C)C1,53639403,MORPHOLINE,"1-(2,6-dimethylmorpholin-4-yl)dodec-10-en-1-one",-,NA,,"Jampílek, J. (2015). Azone® and Its Analogues as Penetration Enhancers. In Percutaneous Penetration Enhancers Chemical Methods in Penetration Enhancement (pp. 69-105). Springer, Berlin, Heidelberg.",295.465,4.8313,-3.384,3,0,29.54,9,0,16,,,amide,,,,,,,Morpholine,C1COCCN1
1-Morpholin-4-yltetradec-13-en-1-one (Azone_analog-162),C=CCCCCCCCCCCCC(=O)N1CCOCC1,19855858,MORPHOLINE,1-(morpholin-4-yl)tetradec-13-en-1-one,-,NA,,"Jampílek, J. (2015). Azone® and Its Analogues as Penetration Enhancers. In Percutaneous Penetration Enhancers Chemical Methods in Penetration Enhancement (pp. 69-105). Springer, Berlin, Heidelberg.",295.465,5.1574,-3.335,3,0,29.54,12,0,16,,,amide,,,,,,,Morpholine,C1COCCN1
"1-(2,6-Dimethylmorpholin-4-yl)dodecan-1-one (Azone_analog-150)",CCCCCCCCCCCC(=O)N1CC(C)OC(C)C1,19981247,MORPHOLINE,"1-(2,6-dimethylmorpholin-4-yl)dodecan-1-one",-,NA,,"Jampílek, J. (2015). Azone® and Its Analogues as Penetration Enhancers. In Percutaneous Penetration Enhancers Chemical Methods in Penetration Enhancement (pp. 69-105). Springer, Berlin, Heidelberg.",297.481,5.0835,-3.612,3,0,29.54,10,0,18,,,amide,,,,,,,Morpholine,C1COCCN1
1-Morpholin-4-ylpentadec-14-en-1-one (Azone_analog-163),C=CCCCCCCCCCCCCC(=O)N1CCOCC1,19855869,MORPHOLINE,1-(morpholin-4-yl)pentadec-14-en-1-one,-,NA,,"Jampílek, J. (2015). Azone® and Its Analogues as Penetration Enhancers. In Percutaneous Penetration Enhancers Chemical Methods in Penetration Enhancement (pp. 69-105). Springer, Berlin, Heidelberg.",309.492,5.6118,-3.605,3,0,29.54,13,0,17,,,amide,,,,,,,Morpholine,C1COCCN1
"1-(2,6-Dimethylmorpholin-4-yl)tridecan-1-one (Azone_analog-151)",CCCCCCCCCCCCC(=O)N1CC(C)OC(C)C1,19981242,MORPHOLINE,"1-(2,6-dimethylmorpholin-4-yl)tridecan-1-one",-,NA,,"Jampílek, J. (2015). Azone® and Its Analogues as Penetration Enhancers. In Percutaneous Penetration Enhancers Chemical Methods in Penetration Enhancement (pp. 69-105). Springer, Berlin, Heidelberg.",311.508,5.5379,-3.8819999999999997,3,0,29.54,11,0,19,,,amide,,,,,,,Morpholine,C1COCCN1
Tetradecylmorpholino ketone (Azone_analog-144),CCCCCCCCCCCCCCC(=O)N1CCOCC1,10335649,MORPHOLINE,1-(morpholin-4-yl)pentadecan-1-one,-,NA,,"Jampílek, J. (2015). Azone® and Its Analogues as Penetration Enhancers. In Percutaneous Penetration Enhancers Chemical Methods in Penetration Enhancement (pp. 69-105). Springer, Berlin, Heidelberg.",311.508,5.7973,-3.6660000000000004,3,0,29.54,13,0,19,,,amide,,,,,,,Morpholine,C1COCCN1
"1-(2,6-Dimethylmorpholin-4-yl)tetradec-12-en-1-one (Azone_analog-168)",CC=CCCCCCCCCCCC(=O)N1CC(C)OC(C)C1,54524553,MORPHOLINE,"1-(2,6-dimethylmorpholin-4-yl)tetradec-12-en-1-one",-,NA,,"Jampílek, J. (2015). Azone® and Its Analogues as Penetration Enhancers. In Percutaneous Penetration Enhancers Chemical Methods in Penetration Enhancement (pp. 69-105). Springer, Berlin, Heidelberg.",323.519,5.7401,-3.924,3,0,29.54,11,0,18,,,amide,,,,,,,Morpholine,C1COCCN1
1-Morpholin-4-ylhexadec-15-en-1-one (Azone_analog-164),C=CCCCCCCCCCCCCCC(=O)N1CCOCC1,19855859,MORPHOLINE,1-(morpholin-4-yl)hexadec-15-en-1-one,-,NA,,"Jampílek, J. (2015). Azone® and Its Analogues as Penetration Enhancers. In Percutaneous Penetration Enhancers Chemical Methods in Penetration Enhancement (pp. 69-105). Springer, Berlin, Heidelberg.",323.519,6.0662,-3.875,3,0,29.54,14,0,18,,,amide,,,,,,,Morpholine,C1COCCN1
"1-(2,6-Dimethylmorpholin-4-yl)tetradecan-1-one (Azone_analog-152)",CCCCCCCCCCCCCC(=O)N1CC(C)OC(C)C1,19981250,MORPHOLINE,"1-(2,6-dimethylmorpholin-4-yl)tetradecan-1-one",-,NA,,"Jampílek, J. (2015). Azone® and Its Analogues as Penetration Enhancers. In Percutaneous Penetration Enhancers Chemical Methods in Penetration Enhancement (pp. 69-105). Springer, Berlin, Heidelberg.",325.535,5.9923,-4.152,3,0,29.54,12,0,20,,,amide,,,,,,,Morpholine,C1COCCN1
1-Morpholin-4-ylheptadecan-1-one (Azone_analog-146),CCCCCCCCCCCCCCCCC(=O)N1CCOCC1,10925833,MORPHOLINE,1-(morpholin-4-yl)heptadecan-1-one,-,NA,,"Jampílek, J. (2015). Azone® and Its Analogues as Penetration Enhancers. In Percutaneous Penetration Enhancers Chemical Methods in Penetration Enhancement (pp. 69-105). Springer, Berlin, Heidelberg.",339.56199999999995,6.7061,-4.206,3,0,29.54,15,0,21,,,amide,,,,,,,Morpholine,C1COCCN1
"1-(2,6-Dimethylmorpholin-4-yl)hexadec-10-en-1-one (Azone_analog-169)",CCCCCC=CCCCCCCCCC(=O)N1CC(C)OC(C)C1,54283557,MORPHOLINE,"1-(2,6-dimethylmorpholin-4-yl)hexadec-10-en-1-one",-,NA,,"Jampílek, J. (2015). Azone® and Its Analogues as Penetration Enhancers. In Percutaneous Penetration Enhancers Chemical Methods in Penetration Enhancement (pp. 69-105). Springer, Berlin, Heidelberg.",351.57300000000004,6.6489,-4.4639999999999995,3,0,29.54,13,0,20,,,amide,,,,,,,Morpholine,C1COCCN1
1-Morpholin-4-yloctadec-17-en-1-one (Azone_analog-165),C=CCCCCCCCCCCCCCCCC(=O)N1CCOCC1,19855833,MORPHOLINE,1-(morpholin-4-yl)octadec-17-en-1-one,-,NA,,"Jampílek, J. (2015). Azone® and Its Analogues as Penetration Enhancers. In Percutaneous Penetration Enhancers Chemical Methods in Penetration Enhancement (pp. 69-105). Springer, Berlin, Heidelberg.",351.57300000000004,6.975,-4.415,3,0,29.54,16,0,20,,,amide,,,,,,,Morpholine,C1COCCN1
"1-(2,6-Dimethylmorpholin-4-yl)hexadecan-1-one (Azone_analog-153)",CCCCCCCCCCCCCCCC(=O)N1CC(C)OC(C)C1,19981248,MORPHOLINE,"1-(2,6-dimethylmorpholin-4-yl)hexadecan-1-one",-,NA,,"Jampílek, J. (2015). Azone® and Its Analogues as Penetration Enhancers. In Percutaneous Penetration Enhancers Chemical Methods in Penetration Enhancement (pp. 69-105). Springer, Berlin, Heidelberg.",353.588,6.9011,-4.692,3,0,29.54,14,0,22,,,amide,,,,,,,Morpholine,C1COCCN1
"1-(2,6-Dimethylmorpholin-4-yl)octadec-10-en-1-one (Azone_analog-170)",CCCCCCCC=CCCCCCCCCC(=O)N1CC(C)OC(C)C1,53809464,MORPHOLINE,"1-(2,6-dimethylmorpholin-4-yl)octadec-10-en-1-one",-,NA,,"Jampílek, J. (2015). Azone® and Its Analogues as Penetration Enhancers. In Percutaneous Penetration Enhancers Chemical Methods in Penetration Enhancement (pp. 69-105). Springer, Berlin, Heidelberg.",379.626,7.5577,-5.004,3,0,29.54,15,0,22,,,amide,,,,,,,Morpholine,C1COCCN1
"1-(2,6-Dimethylmorpholin-4-yl)octadecan-1-one (Azone_analog-154)",CCCCCCCCCCCCCCCCCC(=O)N1CC(C)OC(C)C1,19981243,MORPHOLINE,"1-(2,6-dimethylmorpholin-4-yl)octadecan-1-one",-,NA,,"Jampílek, J. (2015). Azone® and Its Analogues as Penetration Enhancers. In Percutaneous Penetration Enhancers Chemical Methods in Penetration Enhancement (pp. 69-105). Springer, Berlin, Heidelberg.",381.642,7.8099,-5.232,3,0,29.54,16,0,24,,,amide,,,,,,,Morpholine,C1COCCN1
2-Morpholin-4-ylhexanoic acid (Azone_analog-177),CCCCC(N1CCOCC1)C(O)=O,57245578,MORPHOLINE,2-(morpholin-4-yl)hexanoic acid,-,NA,,"Jampílek, J. (2015). Azone® and Its Analogues as Penetration Enhancers. In Percutaneous Penetration Enhancers Chemical Methods in Penetration Enhancement (pp. 69-105). Springer, Berlin, Heidelberg.",201.265,-0.2406,-0.8370000000000001,4,1,49.77,5,0,12,,,,amine,alkyl-amine,,,basic nitrogen,acidic oxygen,Morpholine,C1COCCN1
2-Morpholin-4-yloctanoic acid (Azone_analog-178),CCCCCCC(N1CCOCC1)C(O)=O,43803371,MORPHOLINE,2-(morpholin-4-yl)octanoic acid,-,NA,,"Jampílek, J. (2015). Azone® and Its Analogues as Penetration Enhancers. In Percutaneous Penetration Enhancers Chemical Methods in Penetration Enhancement (pp. 69-105). Springer, Berlin, Heidelberg.",229.31900000000002,0.6682,-1.3769999999999998,4,1,49.77,7,0,14,,,,amine,alkyl-amine,,,basic nitrogen,acidic oxygen,Morpholine,C1COCCN1
2-Morpholin-4-yldecanoic acid (Azone_analog-179),CCCCCCCCC(N1CCOCC1)C(O)=O,57259608,MORPHOLINE,2-(morpholin-4-yl)decanoic acid,-,NA,,"Jampílek, J. (2015). Azone® and Its Analogues as Penetration Enhancers. In Percutaneous Penetration Enhancers Chemical Methods in Penetration Enhancement (pp. 69-105). Springer, Berlin, Heidelberg.",257.372,1.577,-1.9169999999999998,4,1,49.77,9,0,16,,,,amine,alkyl-amine,,,basic nitrogen,acidic oxygen,Morpholine,C1COCCN1
2-[2-(4-Propylheptyl)morpholin-4-yl]ethanol (Azone_analog-174),CCCC(CCC)CCCC1CN(CCO)CCO1,70579181,MORPHOLINE,2-[2-(4-propylheptyl)morpholin-4-yl]ethan-1-ol,-,NA,,"Jampílek, J. (2015). Azone® and Its Analogues as Penetration Enhancers. In Percutaneous Penetration Enhancers Chemical Methods in Penetration Enhancement (pp. 69-105). Springer, Berlin, Heidelberg.",271.443,3.4912,-2.365,3,1,32.7,10,0,19,,,,amine,alkyl-amine,,,basic nitrogen,,Morpholine,C1COCCN1
2-Morpholin-4-yldodecanoic acid (Azone_analog-180),CCCCCCCCCCC(N1CCOCC1)C(O)=O,56988066,MORPHOLINE,2-(morpholin-4-yl)dodecanoic acid,-,NA,,"Jampílek, J. (2015). Azone® and Its Analogues as Penetration Enhancers. In Percutaneous Penetration Enhancers Chemical Methods in Penetration Enhancement (pp. 69-105). Springer, Berlin, Heidelberg.",285.426,2.4858,-2.457,4,1,49.77,11,0,18,,,,amine,alkyl-amine,,,basic nitrogen,acidic oxygen,Morpholine,C1COCCN1
2-Morpholin-4-yltetradecanoic acid (Azone_analog-181),CCCCCCCCCCCCC(N1CCOCC1)C(O)=O,57012303,MORPHOLINE,2-(morpholin-4-yl)tetradecanoic acid,-,NA,,"Jampílek, J. (2015). Azone® and Its Analogues as Penetration Enhancers. In Percutaneous Penetration Enhancers Chemical Methods in Penetration Enhancement (pp. 69-105). Springer, Berlin, Heidelberg.",313.48,3.3946,-2.997,4,1,49.77,13,0,20,,,,amine,alkyl-amine,,,basic nitrogen,acidic oxygen,Morpholine,C1COCCN1
1-Morpholin-4-yldodecane-1-thione (Azone_analog-134),CCCCCCCCCCCC(=S)N1CCOCC1,10379215,MORPHOLINE,1-(morpholin-4-yl)dodecane-1-thione,-,NA,,"Jampílek, J. (2015). Azone® and Its Analogues as Penetration Enhancers. In Percutaneous Penetration Enhancers Chemical Methods in Penetration Enhancement (pp. 69-105). Springer, Berlin, Heidelberg.",285.494,4.9071,-3.793,2,0,44.56,10,0,17,,,,,,,,,,Morpholine,C1COCCN1
"4-Dodecylmorpholine-2,3-dione (Azone_analog-138)",CCCCCCCCCCCCN1CCOC(=O)C1=O,85693234,MORPHOLINE,"4-dodecylmorpholine-2,3-dione",-,NA,,"Jampílek, J. (2015). Azone® and Its Analogues as Penetration Enhancers. In Percutaneous Penetration Enhancers Chemical Methods in Penetration Enhancement (pp. 69-105). Springer, Berlin, Heidelberg.",283.41,3.6513,-2.838,4,0,46.61,11,0,15,,,amide,,,,,,,"Morpholine-2,3-dione",O=C1NCCOC1=O
"4-Tetradecylmorpholine-2,3-dione (Azone_analog-139)",CCCCCCCCCCCCCCN1CCOC(=O)C1=O,85693235,MORPHOLINE,"4-tetradecylmorpholine-2,3-dione",-,NA,,"Jampílek, J. (2015). Azone® and Its Analogues as Penetration Enhancers. In Percutaneous Penetration Enhancers Chemical Methods in Penetration Enhancement (pp. 69-105). Springer, Berlin, Heidelberg.",311.464,4.5601,-3.378,4,0,46.61,13,0,17,,,amide,,,,,,,"Morpholine-2,3-dione",O=C1NCCOC1=O
4-Tridecanoylmorpholine (Azone_analog-142),CCCCCCCCCCCCC(=O)N1CCOCC1,294274,MORPHOLINE,1-(morpholin-4-yl)tridecan-1-one,101831-42-9,101831-42-9,,"Jampílek, J. (2015). Azone® and Its Analogues as Penetration Enhancers. In Percutaneous Penetration Enhancers Chemical Methods in Penetration Enhancement (pp. 69-105). Springer, Berlin, Heidelberg.",283.454,4.8885,-3.1260000000000003,3,0,29.54,11,0,17,,,amide,,,,,,,Morpholine,C1COCCN1
4-Methylmorpholine (Azone_analog-131),CN1CCOCC1,7972,MORPHOLINE,4-methylmorpholine,109-02-4,"109-02-4,205657-43-8",,"Jampílek, J. (2015). Azone® and Its Analogues as Penetration Enhancers. In Percutaneous Penetration Enhancers Chemical Methods in Penetration Enhancement (pp. 69-105). Springer, Berlin, Heidelberg.",101.148,-0.1666,0.126,2,0,12.47,0,0,7,,,,amine,alkyl-amine,,,basic nitrogen,,Morpholine,C1COCCN1
4-Dodecylmorpholine (Azone_analog-132),CCCCCCCCCCCCN1CCOCC1,73764,MORPHOLINE,4-dodecylmorpholine,1541-81-7,1541-81-7,,"Jampílek, J. (2015). Azone® and Its Analogues as Penetration Enhancers. In Percutaneous Penetration Enhancers Chemical Methods in Penetration Enhancement (pp. 69-105). Springer, Berlin, Heidelberg.",255.44400000000002,4.7837,-2.8739999999999997,2,0,12.47,11,0,18,,,,amine,alkyl-amine,,,basic nitrogen,,Morpholine,C1COCCN1
4-(1-Oxoundecyl)morpholine (Azone_analog-141),CCCCCCCCCCC(=O)N1CCOCC1,98730,MORPHOLINE,1-(morpholin-4-yl)undecan-1-one,32972-24-0,32972-24-0,,"Jampílek, J. (2015). Azone® and Its Analogues as Penetration Enhancers. In Percutaneous Penetration Enhancers Chemical Methods in Penetration Enhancement (pp. 69-105). Springer, Berlin, Heidelberg.",255.4,3.9797,-2.5860000000000003,3,0,29.54,9,0,15,,,amide,,,,,,,Morpholine,C1COCCN1
10-undecenoylmorpholine (Azone_analog-159),C=CCCCCCCCCC(=O)N1CCOCC1,96360,MORPHOLINE,1-(morpholin-4-yl)undec-10-en-1-one,4204-68-6,4204-68-6,,"Jampílek, J. (2015). Azone® and Its Analogues as Penetration Enhancers. In Percutaneous Penetration Enhancers Chemical Methods in Penetration Enhancement (pp. 69-105). Springer, Berlin, Heidelberg.",253.38400000000001,3.7942,-2.525,3,0,29.54,9,0,13,,,amide,,,,,,,Morpholine,C1COCCN1
1-Morpholinooctadecane-1-one (Azone_analog-147),CCCCCCCCCCCCCCCCCC(=O)N1CCOCC1,9924707,MORPHOLINE,1-(morpholin-4-yl)octadecan-1-one,5299-54-7,NA,,"Jampílek, J. (2015). Azone® and Its Analogues as Penetration Enhancers. In Percutaneous Penetration Enhancers Chemical Methods in Penetration Enhancement (pp. 69-105). Springer, Berlin, Heidelberg.",353.588,7.1605,-4.476,3,0,29.54,16,0,22,,,amide,,,,,,,Morpholine,C1COCCN1
N-Decanoylmorpholine (Azone_analog-140),CCCCCCCCCC(=O)N1CCOCC1,94801,MORPHOLINE,1-(morpholin-4-yl)decan-1-one,5299-65-0,5299-65-0,,"Jampílek, J. (2015). Azone® and Its Analogues as Penetration Enhancers. In Percutaneous Penetration Enhancers Chemical Methods in Penetration Enhancement (pp. 69-105). Springer, Berlin, Heidelberg.",241.373,3.5253,-2.316,3,0,29.54,8,0,14,,,amide,,,,,,,Morpholine,C1COCCN1
4-Lauroylmorpholine (Azone_analog-133),CCCCCCCCCCCC(=O)N1CCOCC1,94793,MORPHOLINE,1-(morpholin-4-yl)dodecan-1-one,5299-67-2,5299-67-2,,"Jampílek, J. (2015). Azone® and Its Analogues as Penetration Enhancers. In Percutaneous Penetration Enhancers Chemical Methods in Penetration Enhancement (pp. 69-105). Springer, Berlin, Heidelberg.",269.427,4.4341,-2.8560000000000003,3,0,29.54,10,0,16,,,amide,,,,,,,Morpholine,C1COCCN1
1-(Morpholin-4-yl)hexadecan-1-one (Azone_analog-145),CCCCCCCCCCCCCCCC(=O)N1CCOCC1,220414,MORPHOLINE,1-(morpholin-4-yl)hexadecan-1-one,5299-68-3,5299-68-3,,"Jampílek, J. (2015). Azone® and Its Analogues as Penetration Enhancers. In Percutaneous Penetration Enhancers Chemical Methods in Penetration Enhancement (pp. 69-105). Springer, Berlin, Heidelberg.",325.535,6.2517,-3.9360000000000004,3,0,29.54,14,0,20,,,amide,,,,,,,Morpholine,C1COCCN1
4-Myristoylmorpholine (Azone_analog-143),CCCCCCCCCCCCCC(=O)N1CCOCC1,94792,MORPHOLINE,1-(morpholin-4-yl)tetradecan-1-one,5338-53-4,5338-53-4,,"Jampílek, J. (2015). Azone® and Its Analogues as Penetration Enhancers. In Percutaneous Penetration Enhancers Chemical Methods in Penetration Enhancement (pp. 69-105). Springer, Berlin, Heidelberg.",297.481,5.3429,-3.3960000000000004,3,0,29.54,12,0,18,,,amide,,,,,,,Morpholine,C1COCCN1
Delmopinol,CCCC(CCC)CCCC1COCCN1CCO,57337,MORPHOLINE,2-[3-(4-propylheptyl)morpholin-4-yl]ethan-1-ol,79874-76-3,"98092-92-3,79874-76-3",,"Jampilek, J., & Brychtova, K. (2012). Azone analogues: classification, design, and transdermal penetration principles. Medicinal research reviews, 32(5), 907-947.",271.443,3.4912,-2.365,3,1,32.7,10,0,19,,,,amine,alkyl-amine,,,basic nitrogen,,Morpholine,C1COCCN1
1-Decanoyl-4-methylpiperazine (Azone_analog-191),CCCCCCCCCC(=O)N1CCN(C)CC1,3416567,PIPERAZINE,1-(4-methylpiperazin-1-yl)decan-1-one,-,NA,,"Jampílek, J. (2015). Azone® and Its Analogues as Penetration Enhancers. In Percutaneous Penetration Enhancers Chemical Methods in Penetration Enhancement (pp. 69-105). Springer, Berlin, Heidelberg.",254.416,3.6347,-1.818,3,0,23.55,8,0,15,,,amide,amine,alkyl-amine,,,basic nitrogen,,Piperazine,C1CNCCN1
1-Piperazin-1-yldodecan-1-one (Azone_analog-183),CCCCCCCCCCCC(=O)N1CCNCC1,9993189,PIPERAZINE,1-(piperazin-1-yl)dodecan-1-one,-,NA,,"Jampílek, J. (2015). Azone® and Its Analogues as Penetration Enhancers. In Percutaneous Penetration Enhancers Chemical Methods in Penetration Enhancement (pp. 69-105). Springer, Berlin, Heidelberg.",268.443,4.2906,-2.72,3,1,32.34,10,0,16,,,amide,amine,alkyl-amine,,,basic nitrogen,,Piperazine,C1CNCCN1
1-(4-Methylpiperazin-1-yl)dodecan-1-one (Azone_analog-192),CCCCCCCCCCCC(=O)N1CCN(C)CC1,4560447,PIPERAZINE,1-(4-methylpiperazin-1-yl)dodecan-1-one,-,NA,,"Jampílek, J. (2015). Azone® and Its Analogues as Penetration Enhancers. In Percutaneous Penetration Enhancers Chemical Methods in Penetration Enhancement (pp. 69-105). Springer, Berlin, Heidelberg.",282.47,4.5435,-2.358,3,0,23.55,10,0,17,,,amide,amine,alkyl-amine,,,basic nitrogen,,Piperazine,C1CNCCN1
4-Methyl-1-(1-oxotetradecyl)piperazine (Azone_analog-193),CCCCCCCCCCCCCC(=O)N1CCN(C)CC1,9972710,PIPERAZINE,1-(4-methylpiperazin-1-yl)tetradecan-1-one,-,NA,,"Jampílek, J. (2015). Azone® and Its Analogues as Penetration Enhancers. In Percutaneous Penetration Enhancers Chemical Methods in Penetration Enhancement (pp. 69-105). Springer, Berlin, Heidelberg.",310.524,5.4523,-2.898,3,0,23.55,12,0,19,,,amide,amine,alkyl-amine,,,basic nitrogen,,Piperazine,C1CNCCN1
1-Piperazin-1-ylhexadecan-1-one (Azone_analog-184),CCCCCCCCCCCCCCCC(=O)N1CCNCC1,10314205,PIPERAZINE,1-(piperazin-1-yl)hexadecan-1-one,-,NA,,"Jampílek, J. (2015). Azone® and Its Analogues as Penetration Enhancers. In Percutaneous Penetration Enhancers Chemical Methods in Penetration Enhancement (pp. 69-105). Springer, Berlin, Heidelberg.",324.551,6.1082,-3.8,3,1,32.34,14,0,20,,,amide,amine,alkyl-amine,,,basic nitrogen,,Piperazine,C1CNCCN1
1-(4-Methylpiperazin-1-yl)hexadecan-1-one (Azone_analog-194),CCCCCCCCCCCCCCCC(=O)N1CCN(C)CC1,422716,PIPERAZINE,1-(4-methylpiperazin-1-yl)hexadecan-1-one,-,NA,,"Jampílek, J. (2015). Azone® and Its Analogues as Penetration Enhancers. In Percutaneous Penetration Enhancers Chemical Methods in Penetration Enhancement (pp. 69-105). Springer, Berlin, Heidelberg.",338.577,6.3611,-3.438,3,0,23.55,14,0,21,,,amide,amine,alkyl-amine,,,basic nitrogen,,Piperazine,C1CNCCN1
1-Piperazin-1-ylheptadecan-1-one (Azone_analog-185),CCCCCCCCCCCCCCCCC(=O)N1CCNCC1,19981253,PIPERAZINE,1-(piperazin-1-yl)heptadecan-1-one,-,NA,,"Jampílek, J. (2015). Azone® and Its Analogues as Penetration Enhancers. In Percutaneous Penetration Enhancers Chemical Methods in Penetration Enhancement (pp. 69-105). Springer, Berlin, Heidelberg.",338.577,6.5626,-4.07,3,1,32.34,15,0,21,,,amide,amine,alkyl-amine,,,basic nitrogen,,Piperazine,C1CNCCN1
"1,4-Dioctanoylpiperazine (Azone_analog-199)",CCCCCCCC(=O)N1CCN(CC1)C(=O)CCCCCCC,3094208,PIPERAZINE,1-(4-octanoylpiperazin-1-yl)octan-1-one,-,NA,,"Jampílek, J. (2015). Azone® and Its Analogues as Penetration Enhancers. In Percutaneous Penetration Enhancers Chemical Methods in Penetration Enhancement (pp. 69-105). Springer, Berlin, Heidelberg.",338.534,5.5089999999999995,-3.18,4,0,40.62,12,0,18,,,amide,,,,,,,Piperazine,C1CNCCN1
"1,4-Didecanoylpiperazine (Azone_analog-200)",CCCCCCCCCC(=O)N1CCN(CC1)C(=O)CCCCCCCCC,4623369,PIPERAZINE,1-(4-decanoylpiperazin-1-yl)decan-1-one,-,NA,,"Jampílek, J. (2015). Azone® and Its Analogues as Penetration Enhancers. In Percutaneous Penetration Enhancers Chemical Methods in Penetration Enhancement (pp. 69-105). Springer, Berlin, Heidelberg.",394.64099999999996,7.3266,-4.26,4,0,40.62,16,0,22,,,amide,,,,,,,Piperazine,C1CNCCN1
1-(4-Hexadecanoylpiperazin-1-yl)hexadecan-1-one (Azone_analog-202),CCCCCCCCCCCCCCCC(=O)N1CCN(CC1)C(=O)CCCCCCCCCCCCCCC,19981246,PIPERAZINE,1-(4-hexadecanoylpiperazin-1-yl)hexadecan-1-one,-,NA,,"Jampílek, J. (2015). Azone® and Its Analogues as Penetration Enhancers. In Percutaneous Penetration Enhancers Chemical Methods in Penetration Enhancement (pp. 69-105). Springer, Berlin, Heidelberg.",562.964,12.779000000000002,-7.5,4,0,40.62,28,0,34,,,amide,,,,,,,Piperazine,C1CNCCN1
"1,6-Bis(4-methylpiperazin-1-yl)hexane-1,6-dione (Azone_analog-323)",CN1CCN(CC1)C(=O)CCCCC(=O)N1CCN(C)CC1,3455784,PIPERAZINE,"1,6-bis(4-methylpiperazin-1-yl)hexane-1,6-dione",-,NA,,"Jampílek, J. (2015). Azone® and Its Analogues as Penetration Enhancers. In Percutaneous Penetration Enhancers Chemical Methods in Penetration Enhancement (pp. 69-105). Springer, Berlin, Heidelberg.",310.44,0.8394,0.588,6,0,47.1,5,0,16,,,amide,amine,alkyl-amine,,,basic nitrogen,,,O=C(CCCCC(=O)N1CCNCC1)N1CCNCC1
"1,7-Bis(4-methylpiperazin-1-yl)heptane-1,7-dione (Azone_analog-324)",CN1CCN(CC1)C(=O)CCCCCC(=O)N1CCN(C)CC1,19981256,PIPERAZINE,"1,7-bis(4-methylpiperazin-1-yl)heptane-1,7-dione",-,NA,,"Jampílek, J. (2015). Azone® and Its Analogues as Penetration Enhancers. In Percutaneous Penetration Enhancers Chemical Methods in Penetration Enhancement (pp. 69-105). Springer, Berlin, Heidelberg.",324.467,1.2938,0.318,6,0,47.1,6,0,17,,,amide,amine,alkyl-amine,,,basic nitrogen,,,O=C(CCCCCC(=O)N1CCNCC1)N1CCNCC1
"1,9-Di(piperazin-1-yl)nonane-1,9-dione (Azone_analog-321)",O=C(CCCCCCCC(=O)N1CCNCC1)N1CCNCC1,19981240,PIPERAZINE,"1,9-bis(piperazin-1-yl)nonane-1,9-dione",-,NA,,"Jampílek, J. (2015). Azone® and Its Analogues as Penetration Enhancers. In Percutaneous Penetration Enhancers Chemical Methods in Penetration Enhancement (pp. 69-105). Springer, Berlin, Heidelberg.",324.467,1.6968,-0.946,6,2,64.68,8,0,17,,,amide,amine,alkyl-amine,,,basic nitrogen,,,O=C(CCCCCCCC(=O)N1CCNCC1)N1CCNCC1
"1,10-Di(piperazin-1-yl)decane-1,10-dione (Azone_analog-322)",O=C(CCCCCCCCC(=O)N1CCNCC1)N1CCNCC1,19981244,PIPERAZINE,"1,10-bis(piperazin-1-yl)decane-1,10-dione",-,NA,,"Jampílek, J. (2015). Azone® and Its Analogues as Penetration Enhancers. In Percutaneous Penetration Enhancers Chemical Methods in Penetration Enhancement (pp. 69-105). Springer, Berlin, Heidelberg.",338.494,2.1512,-1.216,6,2,64.68,9,0,18,,,amide,amine,alkyl-amine,,,basic nitrogen,,,O=C(CCCCCCCCC(=O)N1CCNCC1)N1CCNCC1
1-hexanoyl-4-methylpiperazine (Azone_analog-187),CCCCCC(=O)N1CCN(C)CC1,3470875,PIPERAZINE,1-(4-methylpiperazin-1-yl)hexan-1-one,10001-08-8,NA,,"Jampílek, J. (2015). Azone® and Its Analogues as Penetration Enhancers. In Percutaneous Penetration Enhancers Chemical Methods in Penetration Enhancement (pp. 69-105). Springer, Berlin, Heidelberg.",198.30900000000003,1.8171,-0.738,3,0,23.55,4,0,11,,,amide,amine,alkyl-amine,,,basic nitrogen,,Piperazine,C1CNCCN1
"1,10-Bis(4-methylpiperazin-1-yl)decane-1,10-dione (Azone_analog-325)",CN1CCN(CC1)C(=O)CCCCCCCCC(=O)N1CCN(C)CC1,58174,PIPERAZINE,"1,10-bis(4-methylpiperazin-1-yl)decane-1,10-dione",101077-11-6,101077-11-6,,"Jampílek, J. (2015). Azone® and Its Analogues as Penetration Enhancers. In Percutaneous Penetration Enhancers Chemical Methods in Penetration Enhancement (pp. 69-105). Springer, Berlin, Heidelberg.",366.548,2.657,-0.49200000000000005,6,0,47.1,9,0,20,,,amide,amine,alkyl-amine,,,basic nitrogen,,,O=C(CCCCCCCCC(=O)N1CCNCC1)N1CCNCC1
